,Book Author,Book Owner,Book Title,Publication Year
112,Ezra Pound   ,Ezra Pound,Versi prosaici,1959
113,Ernest Hemingway,Ernest Hemingway,Three stories & ten poems,1923
114,Ernest Hemingway,Ernest Hemingway,In our time,1924
115,Ernest Hemingway,Ernest Hemingway,"The torrents of spring, a romantic novel in honor of the passing of a great race",1926
116,Ernest Hemingway,Ernest Hemingway,The sun also rises,1926
117,Ernest Hemingway,Ernest Hemingway,Men without women,1927
118,Ernest Hemingway,Ernest Hemingway,In our time : stories,1925
119,Ernest Hemingway,Ernest Hemingway,A farewell to arms,1929
120,Ernest Hemingway,Ernest Hemingway,Death in the afternoon,1932
121,Ernest Hemingway,Ernest Hemingway,Winner take nothing,1933
122,Ernest Hemingway,Ernest Hemingway,Green hills of Africa,1935
123,Ernest Hemingway,Ernest Hemingway,To have and have not,1937
124,Ernest Hemingway,Ernest Hemingway,"The fifth column, and the first forty-nine stories",1938
125,Ernest Hemingway,Ernest Hemingway,For whom the bell tolls,1940
126,Ernest Hemingway,Ernest Hemingway,Across the river and into the trees,1950
127,Ernest Hemingway,Ernest Hemingway,The old man and the sea,1952
128,Ernest Hemingway,Ernest Hemingway,The snows of Kilimanjaro; and other stories,1936
129,Ezra Pound   ,Ezra Pound,Social credit: an impact,1935
130,Ezra Pound   ,Ezra Pound,Two essays,1957
131,Ezra Pound   ,Ezra Pound,Umbra: The Early Poems,1920
132,Ezra Pound   ,Ezra Pound,Quia pauper amavi,1919
133,Ezra Pound   ,Ezra Pound,[Selected Pound material in The egoist],1919
134,Ezra Pound   ,Ezra Pound,Social credit: an impact (1935),1951
135,Ezra Pound,Ernest Hemingway,"A lume spento, 1908-1958",1958
136,Ezra Pound,Ernest Hemingway,Antheil and the treatise on harmony,1924
137,Ezra Pound,Ernest Hemingway,"Cantos 91, 96",1958
138,Ezra Pound,Ernest Hemingway,"A draft of XVI Cantos of Ezra Pound for the beginning of a poem of some length, now first made into a book with initials",1925
139,Ezra Pound,Ernest Hemingway,A draft of XXX cantos,1933
140,Ezra Pound,Ernest Hemingway,Gaudier-Brzeska: a memoir,1916
141,Ezra Pound,Ernest Hemingway,Guide to kulchur,1938
142,Ezra Pound,Ernest Hemingway,Guide to kulchur,1938
143,Ezra Pound,Ernest Hemingway,"If This Be Treason . . .” e.e. cummings/examined. James Joyce: to his memory. A French Accent. Canto 45."" Blast.",1948
144,Ezra Pound,Ernest Hemingway,Lavoro ed usura: tre saggi,1954
145,Ezra Pound,Ernest Hemingway,"The letters of Ezra Pound, 1907-1941",1950
146,Ezra Pound,Ernest Hemingway,"The letters of Ezra Pound, 1907-1941",1950
147,Ezra Pound,Ernest Hemingway,Pavannes and divagations,1958
148,Ezra Pound,Ernest Hemingway,Pavannes and divagations,1958
149,Ezra Pound,Ernest Hemingway,"Personæ: the collected poems, including Ripostes, Lustra, Homage to Sextus Propertius, H.S. Mauberley",1926
150,Ezra Pound,Ernest Hemingway,"Personæ: the collected poems, including Ripostes, Lustra, Homage to Sextus Propertius, H.S. Mauberley",1926
151,Ezra Pound,Ernest Hemingway,Profile: an anthology collected in MCMXXXII,1932
152,Ezra Pound,Ernest Hemingway,"A sampler from the new book: The letters of Ezra Pound, 1907-1941",1950
153,Ezra Pound,Ernest Hemingway,Selected poems,1933
154,Ezra Pound,Ernest Hemingway,Selected poems,1928
155,Ezra Pound,Ernest Hemingway,Umbra: the early poems of Ezra Pound,1920
156,Ezra Pound,Ernest Hemingway,Active anthology,1933
157,Ezra Pound,Ernest Hemingway,The exile,1927
158,Ezra Pound,Ernest Hemingway,The exile,1927
159,Gertrude Stein,Gertrude Stein,"Literally True : from To Do, a book of alphabets and birthdays for all children everywhere : a Christmas remembrance of Gertrude Stein",1947
160,Ernest Hemingway,Gertrude Stein,In Our Time,1924
161,Gertrude Stein,Gertrude Stein,"Absolutely Bob Brown ; or, Bobbed Brown. A (previously unpublished) portrait by Gertrude Stein",1955
162,Gertrude Stein,Gertrude Stein,To Bobchen Haas : a village : are you ready yet not yet,1957
163,Ernest Hemingway,Gertrude Stein,In Our Time,1925
164,Ernest Hemingway,Gertrude Stein,Three Stories & Ten Poems,1923
165,Gertrude Stein,Gertrude Stein,Brewsie et Willie. Traduit et introduit par Raymond Schwab,1947
166,Gertrude Stein,Gertrude Stein,Drei leben,1960
167,Gertrude Stein,Gertrude Stein,Is Dead,1937
168,Gertrude Stein,Gertrude Stein,A Book Concluding with As a Wife has a Cow : a love story,1926
169,Gertrude Stein,Gertrude Stein,The Autobiography of Alice B. Toklas,1933
170,Gertrude Stein,Gertrude Stein,Dix Portraits,1930
171,Gertrude Stein,Gertrude Stein,Portrait of Mabel Dodge at the Villa Curonia,1912
172,Gertrude Stein,Gertrude Stein,"Three Lives : The good Anna, Melanctha, The gentle Lena",1945
173,Gertrude Stein,Gertrude Stein,Tre esistenze,1940
174,Gertrude Stein,Gertrude Stein,The Gertrude Stein first reader & three plays,1946
175,Gertrude Stein,Gertrude Stein,Before the Flowers of Friendship Faded Friendship Faded,1931
176,Gertrude Stein,Gertrude Stein,Autobiografia di Alice Toklas,1938
