,Book Author,Book Owner,Book Title,Publication Year
163,samuel white baker,ernest hemingway,"Ismailïa: a narritive of the expedition to central Africa for the suppression of the slave trade. Organized by Ismail,",1875
164,samuel white baker,ernest hemingway,The rifle and the hound in Ceylon,1890
165,samuel white baker,ernest hemingway,"Wild beasts and their ways: reminiscences of Europe, Asia, Africa, and America",1891
166,sherman baker,ernest hemingway,Hidden fire,1955
167,charles montague bakewell,ernest hemingway,The story of the American Red Cross in Italy,1920
168,glenn balch,ernest hemingway,Hide-rack kidnapped,1939
169,william balck,ernest hemingway,Tactics,1948
170,hanson weightman baldwin,ernest hemingway,The price of power,1948
171,hanson weightman baldwin,ernest hemingway,Sea fights and shipwrecks: true tales of the seven seas,1955
172,hanson weightman baldwin,ernest hemingway,What the citizen should know about the Navy,1941
173,william charles baldwin,ernest hemingway,"African hunting and adventure from Natal to the Zambesi, including Lake Ngami, the Kalahari desert, & etc. from 1851 to",1863
174,doris bell ball,ernest hemingway,The Port of London murders,1955
175,james ballard,ernest hemingway,But a little moment,1950
176,maturin murray ballou,ernest hemingway,"History of Cuba; or, notes of a traveller in the tropics, being a political, historical, and statistical account of the",1854
177,consuelo vanderbilt balsan,ernest hemingway,The glitter and the gold,1953
178,honoré de balzac,ernest hemingway,Oberst Chabert,1950
179,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 1: La maison de chat-qui-pelote. La bal de Sceaux. La bourse. La vendetta.,1891
180,honoré de balzac,ernest hemingway,"Oeuvres complètes - Vol. 2: La fausse maîtress. Le paix du ménage. Etude de femme. Autre étude de femme, la Grande B",1891
181,carel birkby,ernest hemingway,It's a long way to Addis,1942
182,carel birkby,ernest hemingway,Native life in South Africa,1954
183,hoffman birney,ernest hemingway,The dice of God,1956
184,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 4: La femme de trente ans. La femme abandonée.,1891
185,louis edward bisch,ernest hemingway,Be glad you're neurotic,1936
186,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 6: Modeste Mignon.,1891
187,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 7: Béatrix,1891
188,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 8: Le colonel Chabert. Honorine.,1891
189,elizabeth bishop,ernest hemingway,North & south,1946
190,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 10: Un début dans la vie. Madame Firmani. Le message. Le messe de l'athée.,1891
191,herman bishop,ernest hemingway,Your car is made to last,1942
192,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 12: Ursule Mirouet.,1891
193,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 13: Eugénie Grandet.,1891
194,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 15: Les célibataires: Un ménage de garçon [La Rabouilleuse].,1891
195,jim bishop,ernest hemingway,The day Lincoln was shot,1955
196,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 16: L'illustre Caudissart. La muse du département.,1891
197,jim bishop,ernest hemingway,The day Lincoln was shot,1955
198,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 18: Le lys dans la vallée.,1891
199,jim bishop,ernest hemingway,The Mark Hellinger story; a biography of Broadway and Hollywood,1952
200,honoré de balzac,ernest hemingway,"Oeuvres complètes - Vol. 19: Illusions perdues, I. Les delix poètes. Un grand homme de province à Paris.",1891
201,john peale bishop,ernest hemingway,Act of darkness,1935
202,honoré de balzac,ernest hemingway,"Oeuvres complètes - Vol. 20: Illusions perdues, II. Un grand homme de province à Paris (suite).",1891
203,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 22: Splendeurs et misères des courtisanes. I. Comment aiment les filles.,1891
204,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 26: La maison Nucingen. Les secrets de la princess de Cadignan Sarrazine. Facino Cane. Un hom,1892
205,john peale bishop,ernest hemingway,The collected essays of John Peale Bishop,1948
206,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 27: Les employés. Un prince de la Bohème. Gaudissart II. Pierre Grassou.,1892
207,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 29: Les parents pauvres: Le cousin Pons.,1892
208,john peale bishop,ernest hemingway,The collected poems of John Peale Bishop,1948
209,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 30: Les petits bourgeouis (part I).,1892
210,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 34: Le désputé d'Arcis (part I).,1892
211,john peale bishop,ernest hemingway,The collected poems of John Peale Bishop,1948
212,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 41: La recherche de l'absolu.,1892
213,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 42: Séraphita. Jesus-Christ en Flandre. Melmoth reconcilié. L'élixir de longue vie.,1892
214,john peale bishop,ernest hemingway,Many thousands gone,1931
215,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 43: Louis Lambert. Les proscrits. Adieu. Le réquisitionnaire. El verdugo.,1892
216,richard pike bissell,ernest hemingway,"Say, darling; a new novel",1957
217,richard pike bissell,ernest hemingway,A stretch on the river,1950
218,sir james gordon partridge bisset,ernest hemingway,Tramps and ladies; my early years in steamers,1959
219,ruby aurora black,ernest hemingway,Eleanor Roosevelt: a biography,1940
220,susan leigh blackford,ernest hemingway,"Letters from Lee's army; or, Memoirs of life in and out of the army in Virginia during the War Between the States",1947
221,w. w. blackford,ernest hemingway,War years with Jeb Stuart,1945
222,e.t. ellis,ernest hemingway,Black's gardening dictionary,1921
223,william garden blaikie,ernest hemingway,The personal life of David Livingstone... chiefly from his unpublished journals and correspondence in the possession of,1881
224,forrester blake,ernest hemingway,Johnny Christmas : a novel,1948
225,forrester blake,ernest hemingway,Riding the mustang trail,1935
226,forrester blake,ernest hemingway,Wilderness passage,1958
227,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 44: Le chef-d'oeuvre inconnu. Les Marana. Un drame au bord de la mer. L'auberge rouge. Maître,1892
228,william j. blake,ernest hemingway,The world is mine: the extravagant story of a modern Monte Cristo,1938
229,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 45: L'enfant maudit. Gambara. Massimilla Doni.,1892
230,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 46: Sur Catherine de Médicis. I. Le martyr calviniste. II. La confidence des Ruggieri. III. L,1892
231,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 47: Physiologie du mariage.,1892
232,honoré de balzac,ernest hemingway,Oeuvres complètes - Vol. 48: Petites misères de la vie conjugale,1892
233,honoré de balzac,ernest hemingway,The works of Honoré de Balzac (36 Volumes),1901
234,griffing bancroft,ernest hemingway,Lower California: a cruise; the flight of the least Petrel,1932
235,lesley blanch,ernest hemingway,The wilder shores of love,1955
236,gian andrea bandini,ernest hemingway,Il libro del mare: Prose e poesio marinaresche.,1954
237,ralph bandini,ernest hemingway,"Men, fish and tackle: the story of J.A. Coxe as told to Ralph Bandini",1936
238,lesley blanch,ernest hemingway,The wilder shores of love,1954
239,désiré blanchet,ernest hemingway,"L'histoire de France à l'école: Leçons, récits, lectures, revisions. Cours élémentaire.",1912
240,michael blankfort,ernest hemingway,The big Yankee : the life of Carlson of the raiders,1947
241,michael blankfort,ernest hemingway,The brave and the blind,1940
242,michael blankfort,ernest hemingway,A time to live,1943
243,paul blanshard,ernest hemingway,American freedom and Catholic power,1949
244,vicente blasco ibáñez,ernest hemingway,A los pies de Venus (los Borgia): novela,1926
245,tallulah bankhead,ernest hemingway,Tallulah: my autobiography,1952
246,vicente blasco ibáñez,ernest hemingway,Arroz y tartana: novela,1894
247,vincente blasco ibáñez,ernest hemingway,La barraca: novela,1898
248,vicente blasco ibáñez,ernest hemingway,The four horsemen of the Apocalypse,1941
249,pierre barbellion,ernest hemingway,Lancer léger et poissons de sport,1941
250,thomas barbour,ernest hemingway,Naturalist at large,1945
251,thomas barbour,ernest hemingway,A naturalist in Cuba,1945
252,thomas barbour,ernest hemingway,"That vanishing Eden, a naturalist's Florida",1945
253,vicente blasco ibáñez,ernest hemingway,Vistas sudamericanas,1920
254,ike blasingame,ernest hemingway,Dakota cowboy: my life in the old days,1958
255,henri barbusse,ernest hemingway,"We others: stories of fate, love and pity",1918
256,f. bleu,ernest hemingway,Antes y después de la guerra: medio siglo de toreo,1914
257,pierre bardel,ernest hemingway,Boxe 1944,1944
258,karen blixen [isak dinesen],ernest hemingway,Last tales,1957
259,pierre bardel,ernest hemingway,Cyclisme 1944,1944
260,arturo barea,ernest hemingway,The broken root,1951
261,arturo barea,ernest hemingway,The forge,1941
262,karen blixen [isak dinesen],ernest hemingway,Out of Africa,1952
263,arturo barea,ernest hemingway,The forging of a rebel,1946
264,piero bargellini,ernest hemingway,Caffè Michelangiolo,1944
265,karen blixen [isak dinesen],ernest hemingway,Out of Africa,1938
266,maurice baring,ernest hemingway,"R.F.C., H.Q., 1914-1918",1920
267,eugenio barisoni,ernest hemingway,Cacciatore de fussagno,1944
268,karen blixen [isak dinesen],ernest hemingway,Shadows on the grass,1960
269,a. l. barker,ernest hemingway,Innocents: variations on a theme,1948
270,karen blixen [isak dinesen],ernest hemingway,Winter's tales,1942
271,james barlow,ernest hemingway,The patriots,1960
272,baron bror von blixen-finecke,ernest hemingway,African hunter,1938
273,alexander barmine,ernest hemingway,One who survived - the life story of a Russian under the Soviets,1945
274,harry barnard,ernest hemingway,Independent man: the life of Senator James Couzens,1958
275,lawrence g. blochman,ernest hemingway,Wives to burn,1946
276,jean bloch-michel,ernest hemingway,The flight into Egypt,1955
277,georges blond,ernest hemingway,The great story of whales,1955
278,murray teigh bloom,ernest hemingway,Money of their own; the great counterfeiters,1957
279,keppel harcourt barnard,ernest hemingway,A beginner's guide to South African shells,1951
280,[n.auth],ernest hemingway,The Blue guide to Cuba. Season of 1937.,1937
281,[n.auth],ernest hemingway,The Blue guide to Cuba. Season of 1937.,1937
282,keppel harcourt barnard,ernest hemingway,"A pictorial guide to South African fishes, marine and freshwater",1947
283,[n.auth],ernest hemingway,The Blue guide to Cuba. Season of 1940.,1940
284,albert coombs barnes,ernest hemingway,The art in painting,1937
285,[n.auth],ernest hemingway,The Blue guide to Cuba. Season of 1948.,1948
286,[n.auth],ernest hemingway,The Blue guide to Cuba. Season of 1958.,1958
287,eric wollencott barnes,ernest hemingway,The lady of fashion; the life and the theatre of Anna Cora Mowatt,1954
288,eric wollencott barnes,ernest hemingway,The man who lived twice: the biography of Edward Sheldon,1956
289,a. coleman blum,ernest hemingway,El verbo irregular en inglés,1958
290,margaret ayer barnes,ernest hemingway,Westward passage,1931
291,david irving blumenstock,ernest hemingway,The ocean of air,1959
292,godfrey blunden,ernest hemingway,A room on the route,1947
293,david enderby blunt,ernest hemingway,Elephant,1933
294,fernando boada,ernest hemingway,Síntesis de su obra artística,1959
295,fernando boada,ernest hemingway,Síntesis de su obra artística,1959
296,[n.auth],ernest hemingway,Boats today: your book of 101 small boat designs,1955
297,angelo del boca,ernest hemingway,L'anno del giubileo,1948
298,giovanni boccaccio,ernest hemingway,Il Decameron,1949
299,giovanni boccaccio,ernest hemingway,The most pleasant and delectable questions of love,1931
300,maxwell bodenheim,ernest hemingway,Sixty seconds,1929
301,thomas bodkin,ernest hemingway,The approach to painting,1945
302,frederick bodmer,ernest hemingway,The loom of language,1944
303,albert boekholt,ernest hemingway,Mains habiles: travaux manuel de plein air,1943
304,albert boekholt,ernest hemingway,Ouvrages en cuir,1943
