,Book Author,Book Owner,Book Title,Publication Year
420,andré gide,ernest hemingway,Nouvelles pages de journal (1932-1935),1936
421,andré gide,ernest hemingway,Pages de journal (1929-1932),1934
422,dorothy giles,ernest hemingway,The road through Spain,1929
423,eric gill,ernest hemingway,Clothes: an essay upon the nature and significance of the natural and artificial integuments worn by men and women,1931
424,edmund gilligan,ernest hemingway,One lives to tell the tale,1931
425,guy gilpatric,ernest hemingway,"The compleat goggler: being the first and only exhaustive treatise on the art of goggle fishing, that most noble and exc",1938
426,archibald macleish,ernest hemingway,Conquistador,1933
427,archibald macleish,ernest hemingway,Streets in the moon,1926
428,louis macneice,ernest hemingway,Autumn journal: a poem,1939
429,pierre macorlan,ernest hemingway,La cavalière Elsa,1922
430,william mcpherson,ernest hemingway,Chemistry for today,1937
431,salvador de madariaga,ernest hemingway,Anarchy or hierarchy,1937
432,salvador de madariaga,ernest hemingway,Spain,1931
433,w. h. hudson,ernest hemingway,Adventures among birds,1928
434,w. h. hudson,ernest hemingway,Birds in London,1924
435,w. h. hudson,ernest hemingway,Hampshire days,1925
436,w. h. hudson,ernest hemingway,Idle days in Patagonia,1924
437,w. h. hudson,ernest hemingway,The naturalist in La Plata,1929
438,w. h. hudson,ernest hemingway,Nature in downland,1925
439,w. h. hudson,ernest hemingway,Le pays pourpre,1927
440,w. h. hudson,ernest hemingway,"Rare, vanishing and lost British birds",1923
441,charles g. givens,ernest hemingway,The devil takes a hill town,1939
442,hugh stewart gladstone,ernest hemingway,"Record bags and shooting records, together with some account of the evolution of the sporting gun, marksmanship and the",1922
443,rumer godden,ernest hemingway,Black narcissus,1939
444,museo nacional de pintura y escultura madrid,ernest hemingway,Catálogo de los cuadros,1933
445,jorge mañach,ernest hemingway,Estampas de San Cristóbal,1926
446,jorge mañach,ernest hemingway,Glosas,1924
447,mary vivian hughes,ernest hemingway,America's England,1930
448,richard arthur warren hughes,ernest hemingway,"In hazard, a sea story",1938
449,richard arthur warren hughes,ernest hemingway,A high wind in Jamaica,1929
450,thomas mann,ernest hemingway,Buddenbrooks,1935
451,thomas mann,ernest hemingway,Buddenbrooks,1927
452,thomas mann,ernest hemingway,The magic mountain,1932
453,thomas mann,ernest hemingway,Stories of three decades,1936
454,[n.auth],ernest hemingway,"Hugo's pocket dictionary, Italian-English and English-Italian",1937
455,thomas mann,ernest hemingway,... Unordnung und frühes leid: novelle,1926
456,frederic manning,ernest hemingway,"Her privates, we, by Private #19022",1930
457,[n.auth],ernest hemingway,"Hugo's pocket dictionary, French-English and English-French",1929
458,frederic manning,ernest hemingway,"The Middle Parts of Fortune: Somme & Ancre, 1916",1929
459,h. harold hume,ernest hemingway,Gardening in the lower South,1929
460,frazier hunt,ernest hemingway,One American and his attempt at education,1938
461,lynn bogue hunt,ernest hemingway,An artist's game bag,1936
462,violet hunt,ernest hemingway,The wife of Rossetti; her life and death,1932
463,thomas lomax hunter,ernest hemingway,Columns from the Cavalier,1935
464,baron de jean baptiste antoine marcelin marbot,ernest hemingway,"Adventures of General Marbot, by Himself",1935
465,emilio marín,ernest hemingway,Gramática española,1930
466,edward marjoribanks,ernest hemingway,"Carson, the advocate",1932
467,edwin markham,ernest hemingway,The man with the hoe,1921
468,oliver st. john gogarty,ernest hemingway,As I was going down Sackville Street,1937
469,wooden leg,ernest hemingway,A warrior who fought Custer,1931
470,frederick marryat,ernest hemingway,Mr. Midshipman Easy,1924
471,henry goodman,ernest hemingway,Creating the short story: a symposium-anthology,1929
472,sir edward howard marsh,ernest hemingway,A number of people: a book of reminiscences,1939
473,caroline gordon,ernest hemingway,"Aleck Maury, sportsman",1934
474,m. il_in,ernest hemingway,New Russia's primer; the story of the five-year plan,1931
475,caroline gordon,ernest hemingway,The garden of Adonis,1937
476,geoffrey gorer,ernest hemingway,Africa dances: a book about West African negroes,1935
477,herbert sherman gorman,ernest hemingway,The incredible marquis: Alexandre Dumas,1929
478,georges clemenceau,ernest hemingway,M. Clemenceau peint par lui-même,1929
479,jean martet,ernest hemingway,Le quart d'heure d'Anibal Bumbo; roman,1938
480,joseph alexander graham,ernest hemingway,The sporting dog,1924
481,robert bontine cunninghame graham,ernest hemingway,Thirty tales and sketches,1929
482,robert graves,ernest hemingway,But it still goes on: an accumulation,1930
483,prentiss nathaniel gray (ed.),ernest hemingway,Records of North American big game,1932
484,charles grayson,ernest hemingway,Flight south,1935
485,foreign office great britain,ernest hemingway,The British war blue book,1939
486,frederick charles green,ernest hemingway,Stendhal,1939
487,julien green,ernest hemingway,Le Voyageur sur la terre; (suivi de) Christine; Les Clefs de la mort; Leviathan ou la Traversée inutile,1930
488,graham greene,ernest hemingway,Another Mexico,1939
