,Book Author,Book Owner,Publication Year
230, George Bentham ,Virginia Woolf,1887
231, Alfred Charles Smith ,Virginia Woolf,1887
232, Sidney Colvin ,Virginia Woolf,1887
233, Giacomo Casanova ,Virginia Woolf,1887
234, Alexander William Kinglake ,Virginia Woolf,1887
235, Aeschylus ,Virginia Woolf,1887
236, Aristotle ,Virginia Woolf,1887
237, Christopher Marlowe ,Virginia Woolf,1887
238, Richard Claverhouse Jebb ,Virginia Woolf,1887
239, George Meredith ,Virginia Woolf,1887
240, William Makepeace Thackeray ,Virginia Woolf,1887
241, William Makepeace Thackeray ,Virginia Woolf,1887
242, Oliver Goldsmith ,Virginia Woolf,1887
243, Walter Pater ,Virginia Woolf,1887
244, Henry St. Clair Feilden ,Virginia Woolf,1887
245, Martin John Sutton ,Virginia Woolf,1887
246, William Makepeace Thackeray ,Virginia Woolf,1887
247, Johann Wolfgang von Goethe ,Virginia Woolf,1887
248, Heinrich Heine ,Virginia Woolf,1887
249, Francis Beaumont ,Virginia Woolf,1887
250, Honoré de Balzac ,Virginia Woolf,1887
251, Plato ,Virginia Woolf,1887
252, Louisa Devey ,Virginia Woolf,1887
253, Augustine Birrell ,Virginia Woolf,1887
254, George Croom Robertson ,Virginia Woolf,1886
255, William Makepeace Thackeray ,Virginia Woolf,1886
256, Thomas Carlyle ,Virginia Woolf,1886
257, Edward Herbert ,Virginia Woolf,1886
258, William Angus Knight ,Virginia Woolf,1886
259, Sir Leslie Stephen ,Virginia Woolf,1886
260, Thomas Henry Huxley ,Virginia Woolf,1886
261, Sophocles ,Virginia Woolf,1886
262, Henry James ,Virginia Woolf,1886
263, Novalis ,Virginia Woolf,1886
264, William Wordsworth ,Virginia Woolf,1886
265, Demosthenes ,Virginia Woolf,1886
266, Fyodor Dostoyevsky ,Virginia Woolf,1886
267, Cassiodorus ,Virginia Woolf,1886
268, Martial ,Virginia Woolf,1886
269, George Meredith ,Virginia Woolf,1885
270, George Eliot ,Virginia Woolf,1885
271, Lionel Arthur Tollemache ,Virginia Woolf,1885
272, William Makepeace Thackeray ,Virginia Woolf,1885
273, Miguel de Cervantes Saavedra ,Virginia Woolf,1885
274, Virgil ,Virginia Woolf,1885
275, Aristotle ,Virginia Woolf,1885
276, Pindar ,Virginia Woolf,1885
277, Samuel Taylor Coleridge ,Virginia Woolf,1885
278, Samuel Taylor Coleridge ,Virginia Woolf,1885
279, Thomas De Quincey ,Virginia Woolf,1885
280, Anne Thackeray Ritchie ,Virginia Woolf,1885
281, Oliver Wendell Holmes ,Virginia Woolf,1885
282, Sir Leslie Stephen ,Virginia Woolf,1885
283, Charles Greville ,Virginia Woolf,1885
284, Ralph Waldo Emerson ,Virginia Woolf,1884
285, James Anthony Froude ,Virginia Woolf,1884
286, John Murray ,Virginia Woolf,1882
287, Charles St. John ,Virginia Woolf,1884
288, Samuel Taylor Coleridge ,Virginia Woolf,1884
289, Richard William Church ,Virginia Woolf,1884
290, John Ruskin ,Virginia Woolf,1884
291, Robert Browning ,Virginia Woolf,1884
292, Henry James ,Virginia Woolf,1884
293, Philip Massinger ,Virginia Woolf,1884
294, Fyodor Dostoyevsky ,Virginia Woolf,1884
295, Walt Whitman ,Virginia Woolf,1884
296, James Payn ,Virginia Woolf,1884
297, John Morley ,Virginia Woolf,1884
298, John Brown ,Virginia Woolf,1884
299, James Thomson ,Virginia Woolf,1884
300, John Keats ,Virginia Woolf,1884
301, Herbert Spencer ,Virginia Woolf,1884
302, Plato ,Virginia Woolf,1884
303, Ralph Waldo Emerson ,Virginia Woolf,1883
304, Ralph Waldo Emerson ,Virginia Woolf,1883
305, Ralph Waldo Emerson ,Virginia Woolf,1883
306, Ralph Waldo Emerson ,Virginia Woolf,1883
307, Ralph Waldo Emerson ,Virginia Woolf,1883
308, Henry Frowde ,Virginia Woolf,1883
309, Jane Welsh Carlyle ,Virginia Woolf,1883
310, Austin Dobson ,Virginia Woolf,1883
311, George Meredith ,Virginia Woolf,1883
312, Alastair Mackenzie Ferguson ,Virginia Woolf,1883
313, Edward Arber ,Virginia Woolf,1883
314, Hugo Stadtmüller ,Virginia Woolf,1883
315, Thomas Babington Macaulay ,Virginia Woolf,1883
316, John Milton ,Virginia Woolf,1883
317, Frederick Locker-Lampson ,Virginia Woolf,1883
318, Michael Drayton ,Virginia Woolf,1883
319, Robert Greene ,Virginia Woolf,1883
320, John Cordy Jeaffreson ,Virginia Woolf,1883
321, Mark Twain ,Virginia Woolf,1883
322, Henry Wadsworth Longfellow ,Virginia Woolf,1883
323, Ismay Thorn ,Virginia Woolf,1883
324, Edmund Gosse ,Virginia Woolf,1883
325, Anne Thackeray Ritchie ,Virginia Woolf,1883
326, George Meredith ,Virginia Woolf,1883
327, Tobias Smollett ,Virginia Woolf,1883
328, Charles Lamb ,Virginia Woolf,1883
329, Thomas Carlyle ,Virginia Woolf,1883
330, Henry James ,Virginia Woolf,1883
331, Sir Leslie Stephen ,Virginia Woolf,1882
332, Justin McCarthy ,Virginia Woolf,1882
333, Robert Bentley ,Virginia Woolf,1882
334, Charles Isaac Elton ,Virginia Woolf,1882
335, James Anthony Froude ,Virginia Woolf,1882
336, Sir Henry Craik ,Virginia Woolf,1882
337, Arthur Hugh Clough ,Virginia Woolf,1882
338, Sir Leslie Stephen ,Virginia Woolf,1882
339, Sir Leslie Stephen ,Virginia Woolf,1882
340, Anne Thackeray Ritchie ,Virginia Woolf,1882
341, John Gay ,Virginia Woolf,1882
342, John Gibson Lockhart ,Virginia Woolf,1882
343, James Anthony Froude ,Virginia Woolf,1882
344, John Woolman ,Virginia Woolf,1882
345, Caroline Fox ,Virginia Woolf,1882
346, George Crabbe ,Virginia Woolf,1882
347, John Veitch ,Virginia Woolf,1882
348, James Russell Lowell ,Virginia Woolf,1882
349, Henry Duff Traill ,Virginia Woolf,1882
350, James Russell Lowell ,Virginia Woolf,1882
351, Henry Adams ,Virginia Woolf,1882
352, Cornelius Tacitus ,Virginia Woolf,1882
353, William Lucas Collins ,Virginia Woolf,1881
354, Marcus Tullius Cicero ,Virginia Woolf,1881
355, James Spedding ,Virginia Woolf,1881
356, Ferdinand Bracciforti ,Virginia Woolf,1881
357, Aristotle ,Virginia Woolf,1881
358, Sir Thomas Browne ,Virginia Woolf,1881
359, William Schwenck Gilbert ,Virginia Woolf,1881
360, Thomas Hobbes ,Virginia Woolf,1881
361,Emile Zola ,Virginia Woolf,1881
362, Thomas Carlyle ,Virginia Woolf,1881
363, Frederic William Henry Myers ,Virginia Woolf,1881
364, Thucydides ,Virginia Woolf,1881
365, Vernon Lee ,Virginia Woolf,1880
366, George Meredith ,Virginia Woolf,1880
367, Richard Claverhouse Jebb ,Virginia Woolf,1880
368, John Caius ,Virginia Woolf,1880
369, Lord Alfred Tennyson ,Virginia Woolf,1880
370, Anne Thackeray Ritchie ,Virginia Woolf,1880
371, Sir Leslie Stephen ,Virginia Woolf,1880
372, Mark Pattison ,Virginia Woolf,1880
373, William Shakespeare ,Virginia Woolf,1880
374, William Knight ,Virginia Woolf,1880
375, George Otto Trevelyan ,Virginia Woolf,1880
376, Horace ,Virginia Woolf,1880
377,Francis A. Leyland,James Joyce,1886
378,Walt Whitman,James Joyce,1888
379,James Clarence Mangan,James Joyce,1884
380,Arthur Schopenhauer,James Joyce,1880
381,Fabian Society,James Joyce,1884
382,Ludwig van Beethoven,James Joyce,1889
383,Thomas Carlyle,James Joyce,1888
384,Henry Fielding,James Joyce,1881
385,Henry Wadsworth Longfellow,James Joyce,1882
386,William Shakespeare,James Joyce,1884
387,Marcus Tullius Cicero,James Joyce,1888
388,George Eliot,James Joyce,1886
389,Guy de Maupassant,James Joyce,1889
390,Henry Wadsworth Longfellow,James Joyce,1883
391,Philip Massinger,James Joyce,1889
392,Plutarch,James Joyce,1886
393,Samuel Lover,James Joyce,1884
394,William Blake,James Joyce,1885
395,John Milton,James Joyce,1886
396,Oliver Wendell Holmes,James Joyce,1885
397,John Cordy Jeaffreson,James Joyce,1883
398,Alfred Tennyson,James Joyce,1889
399,Laurence Sterne,James Joyce,1888
