,Book Author,Book Owner,Publication Year
19884,Ivan Turgenev,Gertrude Stein,1896
19885,Ivan Turgenev,Gertrude Stein,1898
19886,Ivan Turgenev,Gertrude Stein,1897
19887,Ivan Turgenev,Gertrude Stein,1895
19888,Richard Cobbold,Gertrude Stein,1877
19889,Charles E. Craddock,Gertrude Stein,1884
19890,Dashiell Hammett,Gertrude Stein,1929
19891,Dashiell Hammett,Gertrude Stein,1929
19892,Dashiell Hammett,Gertrude Stein,1931
19893,Dashiell Hammett,Gertrude Stein,1934
19894,Aldous Huxley,Gertrude Stein,1944
19895,Jane Austen,Gertrude Stein,1897
19896,Jane Austen,Gertrude Stein,1897
19897,Jane Austen,Gertrude Stein,1895
19898,Jane Austen,Gertrude Stein,1896
19899,Jane Austen,Gertrude Stein,1896
19900,Daniel Defoe,Gertrude Stein,1840
19901,Daniel Defoe,Gertrude Stein,1845
19902,Daniel Defoe,Gertrude Stein,1840
19903,Daniel Defoe,Gertrude Stein,1705
19904,Daniel Defoe,Gertrude Stein,1854
19905,Thomas Carlyle,Gertrude Stein,1899
19906,Daniel Defoe,Gertrude Stein,1882
19907,Daniel Defoe,Gertrude Stein,1840
19908,Daniel Defoe,Gertrude Stein,1841
19909,Daniel Defoe,Gertrude Stein,1840
19910,Jean-Jacques Rousseau,Gertrude Stein,1907
19911,François Rabelais,Gertrude Stein,1901
19912,Jacinto Benavente,Edna St. Vincent Millay,1918
19913,Titus Lucretius Carus,Edna St. Vincent Millay,1918
19914,Carlo Goldoni,Edna St. Vincent Millay,1902
19915,[N.auth],Edna St. Vincent Millay,1907
19916,[N.auth],Edna St. Vincent Millay,1926
19917,[N.auth],Edna St. Vincent Millay,1907
19918,Johann Wolfgang von Goethe,Edna St. Vincent Millay,1932
19919,Frank Wedekind,Edna St. Vincent Millay,1913
19920,Alfred de Musset,Edna St. Vincent Millay,1927
19921,Pierre Apestéguy,Edna St. Vincent Millay,1943
19922,Edmond Rostand,Edna St. Vincent Millay,1931
19923,Jean de La Fontaine,Edna St. Vincent Millay,1901
19924,Florence Eveleen Eleanore Olliffe Bell,Edna St. Vincent Millay,1939
19925,J Reynaud,Edna St. Vincent Millay,1873
19926,Édouard Estaunié,Edna St. Vincent Millay,1932
19927,G Dallet,Edna St. Vincent Millay,1896
19928,Pierre de Ronsard,Edna St. Vincent Millay,1924
19929,Pierre de Ronsard,Edna St. Vincent Millay,1924
19930,Pierre de Ronsard,Edna St. Vincent Millay,1924
19931,Pierre de Ronsard,Edna St. Vincent Millay,1924
19932,Pierre de Ronsard,Edna St. Vincent Millay,1924
19933,Pierre de Ronsard,Edna St. Vincent Millay,1924
19934,Pierre de Ronsard,Edna St. Vincent Millay,1924
19935,Louise Labé,Edna St. Vincent Millay,1927
19936,Charles Baudelaire,Edna St. Vincent Millay,1895
19937,Alfred de Musset,Edna St. Vincent Millay,1881
19938,St_phane Mallarm_,Edna St. Vincent Millay,1929
19939,Guy de Pourtal”s,Edna St. Vincent Millay,1932
19940,Karl Marx,Edna St. Vincent Millay,1919
19941,Horace Meyer Kallen,Edna St. Vincent Millay,1934
19942,Eugene Field,Edna St. Vincent Millay,1895
19943,[N.auth],Edna St. Vincent Millay,1911
19944,[N.auth],Edna St. Vincent Millay,1942
19945,Allan L. Benson,Edna St. Vincent Millay,1915
19946,Thomas Henry Briggs,Edna St. Vincent Millay,1925
19947,Robert Bakewell,Edna St. Vincent Millay,1938
19948,Saint-John Perse,Edna St. Vincent Millay,1923
19949,Lewis Henry Morgan,Edna St. Vincent Millay,1937
19950,W. W Tarn,Edna St. Vincent Millay,1924
19951,Amy Lowell,Edna St. Vincent Millay,1932
19952,Karl Marx,Edna St. Vincent Millay,1919
19953,Karl Marx,Edna St. Vincent Millay,1919
19954,Marie Carmichael Stopes,Edna St. Vincent Millay,1922
19955,Robert Ridgway,Edna St. Vincent Millay,1918
19956,Frank Harris,Edna St. Vincent Millay,1931
19957,J. Arthur Thomson,Edna St. Vincent Millay,1913
19958,William James,Edna St. Vincent Millay,1853
19959,J. L Comstock,Edna St. Vincent Millay,1896
19960,E. B White,Edna St. Vincent Millay,1891
19961,Brooklyn Ethical Association (New York),Edna St. Vincent Millay,1928
19962,Park G Hammar,Edna St. Vincent Millay,1919
19963,Frederick Merrick White,Edna St. Vincent Millay,1922
19964,[N.auth],Edna St. Vincent Millay,1935
19965,Francis Neilson,Edna St. Vincent Millay,1909
19966,Mae F Haviland,Edna St. Vincent Millay,1923
19967,Flexmore Hudson,Edna St. Vincent Millay,1940
19968,Norman Hapgood,Edna St. Vincent Millay,1911
19969,David Eugene Smith,Edna St. Vincent Millay,1905
19970,[N.auth],Edna St. Vincent Millay,1902
19971,Djuna Barnes,Edna St. Vincent Millay,1928
19972,A. E. [Alfred Edward] Housman,Edna St. Vincent Millay,1939
19973,Walter S Cox,Edna St. Vincent Millay,1901
19974,Roy Schesser,Edna St. Vincent Millay,1940
19975,Anthony M Ludovici,Edna St. Vincent Millay,1925
19976,Edith M Stern,Edna St. Vincent Millay,1942
19977,Bernard D. N Grebanier,Edna St. Vincent Millay,1946
19978,Andrew Marvell,Edna St. Vincent Millay,1937
19979,George Meredith,Edna St. Vincent Millay,1909
19980,Freda Kirchwey,Edna St. Vincent Millay,1930
19981,Rolfe Humphries,Edna St. Vincent Millay,1942
19982,Selman Stone,Edna St. Vincent Millay,1942
19983,Frederick Goddard Tuckerman,Edna St. Vincent Millay,1935
19984,Emily Dickinson,Edna St. Vincent Millay,1929
19985,Emily Dickinson,Edna St. Vincent Millay,1930
19986,J. B. S Haldane,Edna St. Vincent Millay,1928
19987,Kay Boyle,Edna St. Vincent Millay,1942
19988,Henry George,Edna St. Vincent Millay,1910
19989,Michael Angelo Musmanno,Edna St. Vincent Millay,1929
19990,William Morris,Edna St. Vincent Millay,1920
19991,Robert Herrick,Edna St. Vincent Millay,1969
19992,Robert Herrick,Edna St. Vincent Millay,1969
19993,Omar Khayyam,Edna St. Vincent Millay,1899
19994,William Ralston Shedden Ralston,Edna St. Vincent Millay,1969
19995,Alfred North Whitehead,Edna St. Vincent Millay,1925
19996,Eugene Field,Edna St. Vincent Millay,1894
19997,Philip Gibbs,Edna St. Vincent Millay,1930
19998,Frederic Clemson Howe,Edna St. Vincent Millay,1915
19999,John Milton,Edna St. Vincent Millay,1904
